# 몬스터 정보 파일
#이름, 레벨, 공격력, 생명력, 경험치, 위치, 생존?, 타격, 관통, 참격속성

enemy0, 5,	30,	 100, 50,  1, 1, 0, 3, 5, 0
enemy1, 5,	30,	 100, 50,  1, 1, 0, 3, 5, 0
enemy2, 10, 100, 500, 200, 2, 1, 0, 3, 5, 0
enemy3, 7,	60,  300, 150, 3, 1, 0, 3, 5, 0
enemy4, 12, 80,  250, 300, 4, 1, 0, 3, 5, 0
enemy5, 5,	30,  100, 50,  1, 1, 0, 3, 5, 0
enemy6, 10, 100, 500, 200, 2, 1, 0, 3, 5, 0
enemy7, 7,	60,  300, 150, 3, 1, 0, 3, 5, 0
enemy8, 12, 80,  250, 300, 4, 1, 0, 3, 5, 0
enemy9, 5,	30,  100, 50,  1, 1, 0, 3, 5, 0
God,    5,	30,  100, 50,  1, 1, 0, 3, 5, 0
